key,en,kn
partnerStories.articles.3.headline,Partner Spotlight: Celebrating Culinary Heritage,ಪಾಲುದಾರರ ಸ್ಪಾಟ್‌ಲೈಟ್: ಪಾಕಶಾಸ್ತ್ರ ಪರಂಪರೆಯನ್ನು ಆಚರಿಸುವುದು
partnerStories.articles.3.excerpt,A spotlight on the brands and organisations that share our vision for culinary excellence.,ಪಾಕಶಾಸ್ತ್ರದ ಉತ್ಕೃಷ್ಟತೆಯ ನಮ್ಮ ದೃಷ್ಟಿಕೋನವನ್ನು ಹಂಚಿಕೊಳ್ಳುವ ಬ್ರ್ಯಾಂಡ್‌ಗಳು ಮತ್ತು ಸಂಸ್ಥೆಗಳ ಮೇಲೆ ಒಂದು ಸ್ಪಾಟ್‌ಲೈಟ್.
partnerStories.articles.3.body.0,"Behind every great season of Cuisines of Karnataka are the partners who make it possible. Their commitment to quality, tradition, and innovation aligns perfectly with our mission.","ಕರ್ನಾಟಕದ ಭೋಜನ ಶೈಲಿಗಳ ಪ್ರತಿಯೊಂದು ಉತ್ತಮ ಸೀಸನ್ ಹಿಂದೆ ಅದನ್ನು ಸಾಧ್ಯವಾಗಿಸುವ ಪಾಲುದಾರರಿದ್ದಾರೆ. ಗುಣಮಟ್ಟ, ಸಂಪ್ರದಾಯ ಮತ್ತು ನಾವೀನ್ಯತೆಗೆ ಅವರ ಬದ್ಧತೆಯು ನಮ್ಮ ಧ್ಯೇಯದೊಂದಿಗೆ ಸಂಪೂರ್ಣವಾಗಿ ಹೊಂದಿಕೊಳ್ಳುತ್ತದೆ."
partnerStories.articles.3.body.1,"This spotlight features the stories of organisations that have been instrumental in bringing Karnataka's culinary heritage to audiences across the country. From kitchen essentials to premium ingredients, these partners embody the spirit of Karnataka's food culture.","ಈ ಸ್ಪಾಟ್‌ಲೈಟ್ ದೇಶಾದ್ಯಂತ ಪ್ರೇಕ್ಷಕರಿಗೆ ಕರ್ನಾಟಕದ ಪಾಕಶಾಸ್ತ್ರ ಪರಂಪರೆಯನ್ನು ತಲುಪಿಸುವಲ್ಲಿ ಪ್ರಮುಖ ಪಾತ್ರ ವಹಿಸಿದ ಸಂಸ್ಥೆಗಳ ಕಥೆಗಳನ್ನು ಒಳಗೊಂಡಿದೆ. ಅಡುಗೆಮನೆಯ ಅವಶ್ಯಕತೆಗಳಿಂದ ಹಿಡಿದು ಪ್ರೀಮಿಯಂ ಘಟಕಾಂಶಗಳವರೆಗೆ, ಈ ಪಾಲುದಾರರು ಕರ್ನಾಟಕದ ಆಹಾರ ಸಂಸ್ಕೃತಿಯ ಮನೋಭಾವವನ್ನು ಸಾಕಾರಗೊಳಿಸುತ್ತಾರೆ."
partnerStories.articles.3.body.2,We thank them for their continued support and shared passion for great food.,ಅವರ ನಿರಂತರ ಬೆಂಬಲ ಮತ್ತು ಉತ್ತಮ ಆಹಾರದ ಹಂಚಿಕೆಯ ಉತ್ಸಾಹಕ್ಕಾಗಿ ನಾವು ಅವರಿಗೆ ಧನ್ಯವಾದಗಳನ್ನು ಅರ್ಪಿಸುತ್ತೇವೆ.
partnerStories.articles.4.headline,Community & Culture: Food That Brings Us Together,ಸಮುದಾಯ ಮತ್ತು ಸಂಸ್ಕೃತಿ: ನಮ್ಮನ್ನು ಒಂದುಗೂಡಿಸುವ ಆಹಾರ
partnerStories.articles.4.excerpt,"How food acts as a bridge between communities, cultures, and generations in Karnataka.","ಕರ್ನಾಟಕದಲ್ಲಿ ಸಮುದಾಯಗಳು, ಸಂಸ್ಕೃತಿಗಳು ಮತ್ತು ತಲೆಮಾರುಗಳ ನಡುವೆ ಆಹಾರವು ಸೇತುವೆಯಾಗಿ ಹೇಗೆ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ."
partnerStories.articles.4.body.0,"Food in Karnataka is more than just sustenance — it is a celebration of community, culture, and togetherness. From festive feasts to everyday meals, the act of cooking and sharing food is deeply woven into the social fabric.","ಕರ್ನಾಟಕದಲ್ಲಿ ಆಹಾರವು ಕೇವಲ ಪೋಷಣೆಗಿಂತ ಹೆಚ್ಚಾಗಿದೆ — ಇದು ಸಮುದಾಯ, ಸಂಸ್ಕೃತಿ ಮತ್ತು ಒಗ್ಗಟ್ಟಿನ ಆಚರಣೆಯಾಗಿದೆ. ಹಬ್ಬದ ಔತಣಕೂಟಗಳಿಂದ ಹಿಡಿದು ದೈನಂದಿನ ಊಟಗಳವರೆಗೆ, ಅಡುಗೆ ಮಾಡುವ ಮತ್ತು ಆಹಾರವನ್ನು ಹಂಚಿಕೊಳ್ಳುವ ಕ್ರಿಯೆಯು ಸಾಮಾಜಿಕ ರಚನೆಯಲ್ಲಿ ಆಳವಾಗಿ ಹೆಣೆದುಕೊಂಡಿದೆ."
partnerStories.articles.4.body.1,"This season, we celebrate the role of food in bringing people together. Through the stories of home cooks, chefs, and food enthusiasts, we explore how traditional recipes create bonds that transcend generations.","ಈ ಸೀಸನ್‌ನಲ್ಲಿ, ಜನರನ್ನು ಒಟ್ಟುಗೂಡಿಸುವಲ್ಲಿ ಆಹಾರದ ಪಾತ್ರವನ್ನು ನಾವು ಆಚರಿಸುತ್ತೇವೆ. ಗೃಹ ಅಡುಗೆಯವರು, ಶೆಫ್‌ಗಳು ಮತ್ತು ಆಹಾರ ಉತ್ಸಾಹಿಗಳ ಕಥೆಗಳ ಮೂಲಕ, ಸಾಂಪ್ರದಾಯಿಕ ಪಾಕವಿಧಾನಗಳು ತಲೆಮಾರುಗಳನ್ನು ಮೀರಿದ ಬಂಧಗಳನ್ನು ಹೇಗೆ ಸೃಷ್ಟಿಸುತ್ತವೆ ಎಂಬುದನ್ನು ನಾವು ಅನ್ವೇಷಿಸುತ್ತೇವೆ."
partnerStories.articles.4.body.2,"Our partners have been integral to this journey, helping us create a platform that celebrates not just the food, but the people behind it.","ನಮ್ಮ ಪಾಲುದಾರರು ಈ ಪ್ರಯಾಣದಲ್ಲಿ ಅವಿಭಾಜ್ಯರಾಗಿದ್ದಾರೆ, ಆಹಾರವನ್ನು ಮಾತ್ರವಲ್ಲದೆ ಅದರ ಹಿಂದಿನ ಜನರನ್ನು ಆಚರಿಸುವ ವೇದಿಕೆಯನ್ನು ರಚಿಸಲು ನಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತಿದ್ದಾರೆ."
game.title,Santhe Run,ಸಂತೆ ರನ್
game.logoAlt,COK,COK
game.startLabel,Tap to Start,ಆರಂಭಿಸಲು ಟ್ಯಾಪ್ ಮಾಡಿ
game.backLabel,Back to Home,ಮುಖಪುಟಕ್ಕೆ ಹಿಂತಿರುಗಿ
game.bestStreakTemplate,Best Streak: <strong>{streak}</strong>,ಅತ್ಯುತ್ತಮ ಸ್ಟ್ರೀಕ್: <strong>{streak}</strong>
game.bestScoreTemplate,Best Score: <strong>{score}</strong>,ಅತ್ಯುತ್ತಮ ಸ್ಕೋರ್: <strong>{score}</strong>
game.slides.0.labelLeft,Left,ಎಡ
game.slides.0.labelRight,Right,ಬಲ
game.slides.0.labelUp,Up,ಮೇಲೆ
game.slides.0.description,"Swipe or tap left/right to <strong>move</strong>, up to <strong>jump</strong>","ಎಡ/ಬಲ ಸ್ವೈಪ್ ಅಥವಾ ಟ್ಯಾಪ್ ಮಾಡಿ <strong>ಚಲಿಸಲು</strong>, ಮೇಲೆ ಸ್ವೈಪ್ ಮಾಡಿ <strong>ಜಂಪ್</strong> ಮಾಡಲು"
game.slides.1.description,Catch the <strong>right ingredients</strong> to complete the recipe,ಪಾಕವಿಧಾನ ಪೂರ್ಣಗೊಳಿಸಲು <strong>ಸರಿಯಾದ ಘಟಕಾಂಶಗಳನ್ನು</strong> ಹಿಡಿಯಿರಿ
game.slides.2.description,Avoid wrong ones — you only have <strong>3 baskets</strong>!,ತಪ್ಪಾದವುಗಳನ್ನು ತಪ್ಪಿಸಿ — ನಿಮ್ಮ ಬಳಿ ಕೇವಲ <strong>೩ ಬುಟ್ಟಿಗಳು</strong> ಮಾತ್ರ ಇವೆ!
game.slides.3.description,Complete <strong>2 dishes</strong> to level up and unlock harder recipes,ಲೆವೆಲ್ ಅಪ್ ಮತ್ತು ಕಠಿಣ ಪಾಕವಿಧಾನಗಳನ್ನು ಅನ್ಲಾಕ್ ಮಾಡಲು <strong>೨ ಭಕ್ಷ್ಯಗಳನ್ನು</strong> ಪೂರ್ಣಗೊಳಿಸಿ
game.hud.streakTemplate,🔥 Streak: {streak},🔥 ಸ್ಟ್ರೀಕ್: {streak}
game.hud.scoreTemplate,🏆 {score},🏆 {score}
game.hud.levelTemplate,L{level},ಲೆ{level}
game.recipePreview.descriptionTemplate,Let's make {dish_name}! We need to get {ingredient_list} from the market.,{dish_name} ಮಾಡೋಣ! ನಾವು ಮಾರುಕಟ್ಟೆಯಿಂದ {ingredient_list} ತರಬೇಕು.
game.recipePreview.proceedLabel,Proceed,ಮುಂದುವರಿಸಿ
game.dishComplete.title,🎉 Dish Complete!,🎉 ಭಕ್ಷ್ಯ ಸಿದ್ಧ!
game.dishComplete.nextDishLabel,Next Dish →,ಮುಂದಿನ ಭಕ್ಷ್ಯ →
game.gameOver.title,Game Over,ಆಟ ಮುಗಿಯಿತು
game.gameOver.scoreTemplate,Score: {score},ಸ್ಕೋರ್: {score}
game.gameOver.bestStreakTemplate,Best Streak: {streak},ಅತ್ಯುತ್ತಮ ಸ್ಟ್ರೀಕ್: {streak}
game.gameOver.lastDishTemplate,Last dish: {dish_name},ಕೊನೆಯ ಭಕ್ಷ್ಯ: {dish_name}
game.gameOver.watchRecipeLabel,Watch this recipe →,ಈ ಪಾಕವಿಧಾನ ನೋಡಿ →
game.gameOver.playAgainLabel,Play Again,ಮತ್ತೆ ಆಟವಾಡಿ
game.gameOver.homeLabel,Home,ಮುಖಪುಟ
game.gameOver.thumbnailAlt,Video thumbnail,ವೀಡಿಯೊ ಥಂಬ್‌ನೇಲ್
game.levelUp.title,LEVEL UP!,ಲೆವೆಲ್ ಅಪ್!
game.levelUp.levelTemplate,Level {level},ಲೆವೆಲ್ {level}
game.dishes.0.name,White Chicken Pulao,ವೈಟ್ ಚಿಕನ್ ಪುಲಾವ್
game.dishes.1.name,Naati Koli Bassaru,ನಾಟಿ ಕೋಳಿ ಬಸ್ಸಾರು
game.dishes.2.name,Quick Mutton Fry,ಕ್ವಿಕ್ ಮಟನ್ ಫ್ರೈ
game.dishes.3.name,Mutton Kheema Vade,ಮಟನ್ ಖೀಮಾ ವಡೆ
game.dishes.4.name,Kaal Soup,ಕಾಲ್ ಸೂಪ್
game.dishes.5.name,Kanakapura Fish Curry,ಕನಕಪುರ ಮೀನಿನ ಕರಿ
game.dishes.6.name,Kollegal Mutton Pulao,ಕೊಳ್ಳೇಗಾಲ ಮಟನ್ ಪುಲಾವ್
game.dishes.7.name,Kadle Manoli,ಕಡ್ಲೆ ಮನೋಳಿ
game.dishes.8.name,Batani Kurma,ಬಟಾಣಿ ಕುರ್ಮಾ
game.dishes.9.name,Raichur Tuntapur Chicken,ರಾಯಚೂರು ತುಂಟಾಪುರ್ ಚಿಕನ್
game.dishes.10.name,Bonda Soup,ಬೊಂಡಾ ಸೂಪ್
game.dishes.11.name,Southekayi Muddipalya,ಸೌತೆಕಾಯಿ ಮುದ್ದಿಪಲ್ಯ
game.dishes.12.name,Avarekalu Curry,ಅವರೆಕಾಳು ಕರಿ
game.dishes.13.name,Hurugadle Nippattu,ಹುರುಗಡಲೆ ನಿಪ್ಪಾಟ್ಟು
game.dishes.14.name,Halasina Mulka,ಹಲಸಿನ ಮುಲ್ಕಾ
ingredients.Chicken,Chicken,ಕೋಳಿ ಮಾಂಸ
ingredients.Mutton,Mutton,ಮಟನ್
ingredients.Fish,Fish,ಮೀನು
ingredients.Rice,Rice,ಅಕ್ಕಿ
ingredients.Coconut,Coconut,ತೆಂಗಿನಕಾಯಿ
ingredients.Curry Leaves,Curry Leaves,ಕರಿಬೇವು
ingredients.Mustard,Mustard,ಸಾಸಿವೆ
ingredients.Tamarind,Tamarind,ಹುಣಸೆ
ingredients.Garlic,Garlic,ಬೆಳ್ಳುಳ್ಳಿ
ingredients.Ginger,Ginger,ಶುಂಠಿ
ingredients.Pepper,Pepper,ಮೆಣಸು
ingredients.Chilli,Chilli,ಖಾರದ ಮೆಣಸು
ingredients.Mint,Mint,ಪುದೀನಾ
ingredients.Coriander,Coriander,ಕೊತ್ತಂಬರಿ
ingredients.Dill,Dill,ಸಬ್ಬಸಿಗೆ
ingredients.Ivy Gourd,Ivy Gourd,ತೊಂಡೆಕಾಯಿ
ingredients.Chickpeas,Chickpeas,ಕಡ್ಲೆಕಾಳು
ingredients.Peas,Peas,ಬಟಾಣಿ
ingredients.Potato,Potato,ಆಲೂಗಡ್ಡೆ
ingredients.Cashews,Cashews,ಗೋಡಂಬಿ
ingredients.Urad Dal,Urad Dal,ಉದ್ದಿನ ಬೇಳೆ
ingredients.Moong Dal,Moong Dal,ಹೆಸರು ಬೇಳೆ
ingredients.Cucumber,Cucumber,ಸೌತೆಕಾಯಿ
ingredients.Hyacinth Beans,Hyacinth Beans,ಅವರೆಕಾಳು
ingredients.Fried Gram,Fried Gram,ಹುರುಗಡಲೆ
ingredients.Rice Flour,Rice Flour,ಅಕ್ಕಿ ಹಿಟ್ಟು
ingredients.Jackfruit,Jackfruit,ಹಲಸು
ingredients.Jaggery,Jaggery,ಬೆಲ್ಲ
ingredients.Spices,Spices,ಮಸಾಲೆ ಸಾಮಾನು
sponsors.freedom,Presents,ಪ್ರಸ್ತುತಪಡಿಸುತ್ತದೆ
sponsors.indane,Indane,ಇಂಡೇನ್
sponsors.prestige,Prestige,ಪ್ರೆಸ್ಟೀಜ್
sponsors.bhimaGold,Bhima Gold,ಭೀಮಾ ಗೋಲ್ಡ್
sponsors.lays,Lays,ಲೇಸ್
sponsors.sbiCard,SBI Card,ಎಸ್ಬಿಐ ಕಾರ್ಡ್
sponsors.vencobb,Vencobb,ವೆನ್‌ಕಾಬ್
sponsors.ecoCrystal,Eco Crystal,ಈಕೋ ಕ್ರಿಸ್ಟಲ್
